t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
761.0,-6240.249338657464,-2301004.565900709,4,521.8086;1734.7259;1526.2497;1055.1874,1490.8818;4956.3598;4360.7135;3014.8211,1;1;1;1,0,0
762.0,-6251.625520267771,-2307256.191420977,4,523.2056;1737.1127;1529.0629;1057.4387,1494.8730;4963.1791;4368.7512;3021.2534,1;1;1;1,0,0
763.0,-6263.001936528999,-2313519.193357506,4,524.6024;1739.4997;1531.8760;1059.6900,1498.8641;4969.9992;4376.7886;3027.6857,1;1;1;1,0,0
764.0,-6274.378586119436,-2319793.5719436253,4,525.9992;1741.8871;1534.6891;1061.9413,1502.8550;4976.8202;4384.8259;3034.1180,1;1;1;1,0,0
765.0,-6285.7554677269845,-2326079.327411352,4,527.3960;1744.2747;1537.5020;1064.1926,1506.8457;4983.6421;4392.8629;3040.5504,1;1;1;1,0,0
766.0,-6297.13258004909,-2332376.459991401,4,528.7927;1746.6627;1540.3149;1066.4439,1510.8363;4990.4648;4400.8997;3046.9827,1;1;1;1,0,0
767.0,-6308.509921792645,-2338684.9699131935,4,530.1894;1749.0509;1543.1277;1068.6953,1514.8268;4997.2884;4408.9363;3053.4151,1;1;1;1,0,0
768.0,-6319.8874916739105,-2345004.857404867,4,531.5860;1751.4395;1545.9404;1070.9466,1518.8171;5004.1129;4416.9726;3059.8474,1;1;1;1,0,0
769.0,-6331.265288418429,-2351336.122693286,4,532.9825;1753.8284;1548.7531;1073.1979,1522.8072;5010.9382;4425.0088;3066.2798,1;1;1;1,0,0
770.0,-6342.643310760948,-2357678.766004047,4,534.3790;1756.2175;1551.5656;1075.4493,1526.7972;5017.7643;4433.0447;3072.7122,1;1;1;1,0,0
771.0,-6354.021557445338,-2364032.787561492,4,535.7755;1758.6070;1554.3781;1077.7006,1530.7871;5024.5914;4441.0804;3079.1446,1;1;1;1,0,0
772.0,-6365.4000272245075,-2370398.1875887164,4,537.1719;1760.9967;1557.1906;1079.9520,1534.7768;5031.4192;4449.1159;3085.5771,1;1;1;1,0,0
